t,rss_a_kb,rss_b_kb,rss_r_kb,height_a,pending_a
1788764482,155060,157752,111176,11,0
1788764484,155060,157752,111180,11,0
1788764486,155064,157752,111196,11,0
1788764488,155064,157752,111204,11,0
1788764490,155064,157752,111204,11,0
1788764493,155064,157756,111208,11,0
1788764495,155068,157756,111220,11,0
1788764497,155068,157756,111236,11,0
1788764499,155068,157756,111252,11,0
1788764501,155068,157756,111264,11,0
1788764503,155068,157756,111284,11,0
1788764505,155068,157756,111292,11,0
1788764507,155068,157756,111304,11,0
1788764509,155068,157756,111312,11,0
1788764511,155068,157756,111324,11,0
1788764513,155068,157756,111336,11,0
1788764515,155068,157756,111352,11,0
1788764517,155068,157760,111360,11,0
1788764519,155068,157760,111380,11,0
1788764521,155068,157760,111392,11,0
1788764523,155072,157764,111408,11,0
1788764525,155072,157764,111420,11,0
1788764528,155072,157764,111432,11,0
1788764530,155076,157764,111464,11,0
1788764532,155076,157764,111480,11,0
1788764534,155076,157764,111496,11,0
1788764536,155076,157764,111512,11,0
1788764538,155076,157764,111524,11,0
1788764540,155076,157764,111532,11,0
1788764542,155076,157764,111544,11,0
1788764544,155076,157764,111556,11,0
1788764546,155076,157764,111572,11,0
1788764548,155076,157764,111588,11,0
1788764550,155076,157764,111600,11,0
1788764552,155076,157764,111612,11,0
1788764554,155080,157768,111624,11,0
1788764556,155080,157768,111648,11,0
1788764558,155080,157768,111672,11,0
1788764560,155080,157772,111700,11,0
1788764562,155080,157772,111728,11,0
1788764565,155080,157772,111748,11,0
1788764567,155080,157772,111776,11,0
1788764569,155080,157772,111804,11,0
1788764571,155084,157772,111832,11,0
1788764573,155084,157772,111856,11,0
1788764575,155084,157772,111880,11,0
1788764577,155084,157772,111904,11,0
1788764579,155084,157772,111928,11,0
1788764581,155084,157772,111952,11,0
1788764583,155088,157776,111980,11,0
1788764585,155088,157776,112004,11,0
1788764587,155088,157776,112028,11,0
1788764589,155088,157776,112052,11,0
1788764591,155088,157776,112076,11,0
1788764593,155088,157776,112100,11,0
1788764595,155088,157776,112124,11,0
1788764597,155088,157776,112148,11,0
1788764599,155088,157776,112172,11,0
1788764601,155088,157780,112196,11,0
1788764604,155088,157780,112232,11,0
1788764606,155088,157780,112272,11,0
1788764608,155088,157780,112296,11,0
1788764610,155088,157780,112320,11,0
1788764612,155088,157780,112344,11,0
1788764614,155096,157784,112372,11,0
1788764616,155096,157784,112400,11,0
1788764618,155096,157784,112424,11,0
1788764620,155096,157784,112448,11,0
1788764622,155096,157784,112476,11,0
1788764624,155096,157784,112496,11,0
1788764626,155096,157784,112520,11,0
1788764628,155096,157784,112544,11,0
1788764630,155096,157784,112568,11,0
1788764632,155096,157784,112592,11,0
1788764634,155096,157784,112616,11,0
1788764636,155096,157784,112644,11,0
1788764638,155096,157784,112668,11,0
1788764640,155096,157784,112692,11,0
1788764643,155100,157788,112720,11,0
1788764645,155100,157792,112740,11,0
1788764647,155100,157792,112764,11,0
1788764649,155100,157792,112788,11,0
1788764651,155100,157792,112816,11,0
1788764653,155100,157792,112840,11,0
1788764655,155100,157792,112864,11,0
1788764657,155104,157792,112892,11,0
1788764659,155104,157792,112916,11,0
1788764661,155104,157792,112940,11,0
1788764663,155104,157792,112968,11,0
1788764665,155104,157792,112988,11,0
1788764667,155104,157792,113012,11,0
1788764669,155104,157792,113036,11,0
1788764671,155104,157792,113064,11,0
1788764673,155108,157796,113088,11,0
1788764675,155108,157796,113112,11,0
1788764678,155108,157796,113136,11,0
1788764680,155108,157796,113184,11,0
1788764682,155108,157796,113212,11,0
1788764684,155108,157796,113232,11,0
1788764686,155108,157796,113260,11,0
1788764688,155108,157800,113284,11,0
1788764690,155108,157800,113308,11,0
1788764692,155108,157800,113332,11,0
1788764694,155108,157800,113356,11,0
1788764696,155108,157800,113380,11,0
1788764698,155108,157800,113404,11,0
1788764700,155112,157800,113432,11,0
1788764702,155112,157800,113460,11,0
1788764704,155116,157804,113484,11,0
1788764706,155116,157804,113508,11,0
1788764708,155116,157804,113532,11,0
1788764710,155116,157804,113556,11,0
1788764712,155116,157804,113580,11,0
1788764714,155116,157804,113604,11,0
1788764716,155116,157808,113628,11,0
1788764719,155116,157808,113652,11,0
1788764721,155116,157808,113676,11,0
1788764723,155116,157808,113708,11,0
1788764725,155116,157808,113728,11,0
1788764727,155116,157808,113752,11,0
1788764729,155116,157812,113776,11,0
1788764731,155116,157812,113800,11,0
1788764733,155120,157820,113824,11,0
1788764735,155120,157820,113860,11,0
1788764737,155120,157820,113888,11,0
1788764739,155120,157820,113912,11,0
1788764741,155124,157820,113940,11,0
1788764743,155124,157820,113968,11,0
1788764745,155124,157820,113992,11,0
1788764748,155124,157824,114020,11,0
1788764750,155124,157824,114064,11,0
1788764752,155124,157824,114088,11,0
1788764754,155124,157824,114112,11,0
1788764756,155124,157824,114140,11,0
1788764758,155124,157824,114164,11,0
1788764760,155124,157824,114188,11,0
1788764762,155124,157828,114212,11,0
